number,year,title,status,doi,match_score,title_score,matched_title,matched_journal,matched_year,note
45,2021,"Integrated biohydrogen production via lignocellulosic waste: Opportunity, challenges & future prospects",accepted,10.1016/j.biortech.2021.125511,0.9850,0.9802,"Integrated biohydrogen production via lignocellulosic waste: Opportunity, challenges &amp; future prospects",Bioresource Technology,2021,accepted
46,2021,Ag-modified SnO2-graphitic-carbon nitride nanostructures for electrochemical sensor applications,accepted,10.1016/j.ceramint.2021.05.076,1.0000,1.0000,Ag-modified SnO2-graphitic-carbon nitride nanostructures for electrochemical sensor applications,Ceramics International,2021,accepted
47,2021,Dissolution of cathode–electrolyte interphase deposited on LiNi0. 5Mn1. 5O4 for lithium-ion batteries,accepted,10.1016/j.jpowsour.2021.230051,1.0000,1.0000,Dissolution of cathode–electrolyte interphase deposited on LiNi0.5Mn1.5O4 for lithium-ion batteries,Journal of Power Sources,2021,accepted
48,2021,Design for a longer photoinduced charge separation and improved visible-light-driven H2 generation through structure reversal and oxygen vacancies via Ni substitution into ZnFe2O4 spinel,accepted,10.1016/j.ceramint.2021.04.040,1.0000,1.0000,Design for a longer photoinduced charge separation and improved visible-light-driven H2 generation through structure reversal and oxygen vacancies via Ni substitution into ZnFe2O4 spinel,Ceramics International,2021,accepted
49,2021,Graphitic‑carbon nitride based mixed-phase bismuth nanostructures: Tuned optical and structural properties with boosted photocatalytic performance for wastewater decontamination under visible-light irradiation,accepted,10.1016/j.impact.2021.100345,1.0000,1.0000,Graphitic‑carbon nitride based mixed-phase bismuth nanostructures: Tuned optical and structural properties with boosted photocatalytic performance for wastewater decontamination under visible-light irradiation,NanoImpact,2021,accepted
50,2021,Fabrication of Electrochemical Sensor Using SnO2-Modified-TiO2 Nanocomposite for Detection of Hydrazine,accepted,10.1149/1945-7111/ac099b,0.9352,0.9148,"Fabrication of Electrochemical Sensor Using SnO
                    <sub>2</sub>
                    -Modified-TiO
                    <sub>2</sub>
                    Nanocomposite for Detection of Hydrazine",Journal of The Electrochemical Society,2021,accepted
51,2021,Fabrication of binary SnO2/TiO2 nanocomposites under a sonication-assisted approach: Tuning of band-gap and water depollution applications under visible light irradiation,accepted,10.1016/j.ceramint.2021.02.065,1.0000,1.0000,Fabrication of binary SnO2/TiO2 nanocomposites under a sonication-assisted approach: Tuning of band-gap and water depollution applications under visible light irradiation,Ceramics International,2021,accepted
52,2021,Co-activated Conversion Reaction of MoO2: CoMoO3 as a Negative Electrode Material for Lithium-Ion Batteries,accepted,10.1021/acsami.0c19894,0.9299,0.9170,Co-activated Conversion Reaction of MoO<sub>2</sub>:CoMoO<sub>3</sub> as a Negative Electrode Material for Lithium-Ion Batteries,ACS Applied Materials &amp; Interfaces,2021,accepted
53,2020,"Na, O-co-doped-graphitic-carbon nitride (Na, Og-C3N4) for nonenzymatic electrochemical sensing of hydrogen peroxide",accepted,10.1016/j.apsusc.2020.146353,0.9966,0.9955,"Na,O-co-doped-graphitic-carbon nitride (Na,O-g-C3N4) for nonenzymatic electrochemical sensing of hydrogen peroxide",Applied Surface Science,2020,accepted
54,2020,Hydrogen Evolution Reaction by Atomic Layer‐Deposited MoNx on Porous Carbon Substrates: The Effects of Porosity and Annealing on Catalyst Activity and Stability,accepted,10.1002/cssc.202000350,0.9702,0.9607,Hydrogen Evolution Reaction by Atomic Layer‐Deposited MoN<sub><i>x</i></sub> on Porous Carbon Substrates: The Effects of Porosity and Annealing on Catalyst Activity and Stability,ChemSusChem,2020,accepted
55,2019,A methodological review on material growth and synthesis of solar-driven water splitting photoelectrochemical cells,accepted,10.1039/c9ra05341g,1.0000,1.0000,A methodological review on material growth and synthesis of solar-driven water splitting photoelectrochemical cells,RSC Advances,2019,accepted
56,2019,Electrochemically induced fractures in crystalline silicon anodes,accepted,10.1016/j.jpowsour.2019.03.105,1.0000,1.0000,Electrochemically induced fractures in crystalline silicon anodes,Journal of Power Sources,2019,accepted
57,2019,Spatial Molecular Layer Deposition of Ultrathin Polyamide To Stabilize Silicon Anodes in Lithium-Ion Batteries,accepted,10.1021/acsaem.9b00326,1.0000,1.0000,Spatial Molecular Layer Deposition of Ultrathin Polyamide To Stabilize Silicon Anodes in Lithium-Ion Batteries,ACS Applied Energy Materials,2019,accepted
58,2019,Interfacially Induced Cascading Failure in Graphite‐Silicon Composite Anodes,accepted,10.1002/advs.201801007,1.0000,1.0000,Interfacially Induced Cascading Failure in Graphite‐Silicon Composite Anodes,Advanced Science,2019,accepted
59,2019,Three-dimensional electronic resistivity mapping of solid electrolyte interphase on Si anode materials,accepted,10.1016/j.nanoen.2018.11.007,1.0000,1.0000,Three-dimensional electronic resistivity mapping of solid electrolyte interphase on Si anode materials,Nano Energy,2019,accepted
60,2018,The investigation of electrolyte oxidation and film deposition characteristics at high potentials in a carbonate-based electrolyte using Pt electrode,accepted,10.1149/2.0931805jes,1.0000,1.0000,The Investigation of Electrolyte Oxidation and Film Deposition Characteristics at High Potentials in a Carbonate-Based Electrolyte Using Pt Electrode,Journal of The Electrochemical Society,2018,accepted
61,2017,"Lithium Salt Effects on Silicon Electrode Performance and Solid Electrolyte Interphase (SEI) Structure, Role of Solution Structure on SEI Formation",accepted,10.1149/2.1421709jes,1.0000,1.0000,"Lithium Salt Effects on Silicon Electrode Performance and Solid Electrolyte Interphase (SEI) Structure, Role of Solution Structure on SEI Formation",Journal of The Electrochemical Society,2017,accepted
62,2017,Tris (pentafluorophenyl) silane as a Solid Electrolyte Interphase (SEI)-Forming Agent for Graphite Electrodes,accepted,10.1149/2.0901709jes,1.0000,1.0000,Tris(pentafluorophenyl)silane as a Solid Electrolyte Interphase (SEI)-Forming Agent for Graphite Electrodes,Journal of The Electrochemical Society,2017,accepted
63,2017,Surface Modification of LiCoO2 by NASICON-Type Ceramic Materials for Lithium Ion Batteries,accepted,10.1166/jnn.2017.13737,0.9596,0.9468,Surface Modification of LiCoO<sub>2</sub> by NASICON-Type Ceramic Materials for Lithium Ion Batteries,Journal of Nanoscience and Nanotechnology,2017,accepted
64,2017,Effect of lithium borate additives on cathode film formation in LiNi0. 5Mn1. 5O4/Li Cells,review,10.1021/acsami.7b01481,0.8844,0.8571,Effect of Lithium Borate Additives on Cathode Film Formation in LiNi<sub>0.5</sub>Mn<sub>1.5</sub>O<sub>4</sub>/Li Cells,ACS Applied Materials &amp; Interfaces,2017,title similarity too low (0.857)
65,2017,Electrochemical reactivity of polyimide and feasibility as a conductive binder for silicon negative electrodes,accepted,10.1007/s10853-016-0442-2,1.0000,1.0000,Electrochemical reactivity of polyimide and feasibility as a conductive binder for silicon negative electrodes,Journal of Materials Science,2017,accepted
66,2017,Thermal Decomposition of the Solid Electrolyte Interphase (SEI) on Silicon Electrodes for Lithium Ion Batteries,accepted,10.1021/acs.chemmater.7b00454,1.0000,1.0000,Thermal Decomposition of the Solid Electrolyte Interphase (SEI) on Silicon Electrodes for Lithium Ion Batteries,Chemistry of Materials,2017,accepted
67,2017,Carbon fabric as a current collector for electroless-plated Cu 6 Sn 5 negative electrode for lithium-ion batteries,accepted,10.1016/j.jallcom.2016.09.073,1.0000,1.0000,Carbon fabric as a current collector for electroless-plated Cu6Sn5 negative electrode for lithium-ion batteries,Journal of Alloys and Compounds,2017,accepted
68,2017,Spectroscopic and Density Functional Theory Characterization of Common Lithium Salt Solvates in Carbonate Electrolytes for Lithium Batteries,accepted,10.1021/acs.jpcc.6b12234,0.9927,1.0000,Spectroscopic and Density Functional Theory Characterization of Common Lithium Salt Solvates in Carbonate Electrolytes for Lithium Batteries,The Journal of Physical Chemistry C,2017,accepted
69,2016,Fluoroethylene carbonate and vinylene carbonate reduction: understanding lithium-ion battery electrolyte additives and solid electrolyte interphase formation,accepted,10.1021/acs.chemmater.6b02282,1.0000,1.0000,Fluoroethylene Carbonate and Vinylene Carbonate Reduction: Understanding Lithium-Ion Battery Electrolyte Additives and Solid Electrolyte Interphase Formation,Chemistry of Materials,2016,accepted
70,2016,Increase of both solubility and working voltage by acetyl substitution on ferrocene for non-aqueous flow battery,accepted,10.1016/j.elecom.2016.06.002,1.0000,1.0000,Increase of both solubility and working voltage by acetyl substitution on ferrocene for non-aqueous flow battery,Electrochemistry Communications,2016,accepted
71,2016,Low-Temperature Performance Improvement of Graphite Electrode by Allyl Sulfide Additive and Its Film-Forming Mechanism,accepted,10.1149/2.0051609jes,1.0000,1.0000,Low-Temperature Performance Improvement of Graphite Electrode by Allyl Sulfide Additive and Its Film-Forming Mechanism,Journal of The Electrochemical Society,2016,accepted
72,2016,Tris (pentafluorophenyl) silane as an Electrolyte Additive for 5 V LiNi0. 5Mn1. 5O4 Positive Electrode,review,10.1149/2.0501606jes,0.8964,0.8636,Tris(pentafluorophenyl)silane as an Electrolyte Additive for 5 V LiNi<sub>0.5</sub>Mn<sub>1.5</sub>O<sub>4</sub>Positive Electrode,Journal of The Electrochemical Society,2016,title similarity too low (0.864)
73,2016,Systematic Investigation of Binders for Silicon Anodes: Interactions of Binder with Silicon Particles and Electrolytes and Effects of Binders on Solid Electrolyte Interphase Formation,accepted,10.1021/acsami.6b03357,0.9929,1.0000,Systematic Investigation of Binders for Silicon Anodes: Interactions of Binder with Silicon Particles and Electrolytes and Effects of Binders on Solid Electrolyte Interphase Formation,ACS Applied Materials &amp; Interfaces,2016,accepted
74,2015,Capacity fading mechanisms of silicon nanoparticle negative electrodes for lithium ion batteries,accepted,10.1149/2.0731512jes,1.0000,1.0000,Capacity Fading Mechanisms of Silicon Nanoparticle Negative Electrodes for Lithium Ion Batteries,Journal of The Electrochemical Society,2015,accepted
75,2015,An azamacrocyclic electrolyte additive to suppress metal deposition in lithium-ion batteries,accepted,10.1016/j.elecom.2015.05.019,1.0000,1.0000,An azamacrocyclic electrolyte additive to suppress metal deposition in lithium-ion batteries,Electrochemistry Communications,2015,accepted
76,2015,Reinforcement of an electrically conductive network with ethanol as a dispersing agent in the slurry preparation step,accepted,10.1016/j.jpowsour.2015.04.006,1.0000,1.0000,Reinforcement of an electrically conductive network with ethanol as a dispersing agent in the slurry preparation step,Journal of Power Sources,2015,accepted
77,2015,A tetradentate Ni (II) complex cation as a single redox couple for non-aqueous flow batteries,accepted,10.1016/j.jpowsour.2015.02.083,1.0000,1.0000,A tetradentate Ni(II) complex cation as a single redox couple for non-aqueous flow batteries,Journal of Power Sources,2015,accepted
78,2015,Thermal behavior of solid electrolyte interphase films deposited on graphite electrodes with different states-of-charge,accepted,10.1149/2.0431506jes,1.0000,1.0000,Thermal Behavior of Solid Electrolyte Interphase Films Deposited on Graphite Electrodes with Different States-of-Charge,Journal of The Electrochemical Society,2015,accepted
79,2014,A First‐Cycle Coulombic Efficiency Higher than 100% Observed for a Li2MO3 (M= Mo or Ru) Electrode,accepted,10.1002/anie.201404510,0.9289,0.9064,A First‐Cycle Coulombic Efficiency Higher than 100 % Observed for a Li<sub>2</sub>MO<sub>3</sub> (M=Mo or Ru) Electrode,Angewandte Chemie International Edition,2014,accepted
80,2014,Re-Deposition of Aluminum Species after Dissolution to Improve Electrode Performances of Lithium Manganese Oxide,accepted,10.1149/2.0231414jes,1.0000,1.0000,Re-Deposition of Aluminum Species after Dissolution to Improve Electrode Performances of Lithium Manganese Oxide,Journal of The Electrochemical Society,2014,accepted
81,2014,Effective passivation of a high-voltage positive electrode by 5-hydroxy-1 H-indazole additives,accepted,10.1039/c4ta01891e,0.9530,1.0000,Effective passivation of a high-voltage positive electrode by 5-hydroxy-1H-indazole additives,J. Mater. Chem. A,2014,accepted
82,2014,Compositional change of surface film deposited on LiNi0. 5Mn1. 5O4 positive electrode,review,10.1149/2.019404jes,0.8825,0.8454,Compositional Change of Surface Film Deposited on LiNi<sub>0.5</sub>Mn<sub>1.5</sub>O<sub>4</sub>Positive Electrode,Journal of The Electrochemical Society,2014,title similarity too low (0.845)
83,2013,The Effects of Radio Frequency Sputtering of TiO2 on Li [Li0. 07Ni0. 38Co0. 15Mn0. 4] O2 Cathode for Lithium Ion Batteries,review,10.1166/jnn.2013.8128,0.6676,0.5627,The Effects of Radio Frequency Sputtering of TiO&lt;SUB&gt;2&lt;/SUB&gt; on Li[Li&lt;SUB&gt;0.07&lt;/SUB&gt;Ni&lt;SUB&gt;0.38&lt;/SUB&gt;Co&lt;SUB&gt;0.15&lt;/SUB&gt;Mn&lt;SUB&gt;0.4&lt;/SUB&gt;]O&lt;SUB&gt;2&lt;/SUB&gt; Cathode for Lithium Ion Batteries,Journal of Nanoscience and Nanotechnology,2013,title similarity too low (0.563)
84,2013,Li 2 NiO 2 as a sacrificing positive additive for lithium-ion batteries,accepted,10.1016/j.electacta.2013.06.117,1.0000,1.0000,Li2NiO2 as a sacrificing positive additive for lithium-ion batteries,Electrochimica Acta,2013,accepted
85,2013,A Comparative Study on Thermal Stability of Two Solid Electrolyte Interphase (SEI) Films on Graphite Negative Electrode,accepted,10.1149/2.095309jes,1.0000,1.0000,A Comparative Study on Thermal Stability of Two Solid Electrolyte Interphase (SEI) Films on Graphite Negative Electrode,Journal of The Electrochemical Society,2013,accepted
86,2013,Continuous activation of Li 2 MnO 3 component upon cycling in Li 1.167 Ni 0.233 Co 0.100 Mn 0.467 Mo 0.033 O 2 cathode material for lithium ion batteries,accepted,10.1039/c2ta00309k,1.0000,1.0000,Continuous activation of Li2MnO3 component upon cycling in Li1.167Ni0.233Co0.100Mn0.467Mo0.033O2 cathode material for lithium ion batteries,Journal of Materials Chemistry A,2013,accepted
87,2013,Mechanism of Co 3 O 4/graphene catalytic activity in Li–O 2 batteries using carbonate based electrolytes,accepted,10.1016/j.electacta.2012.12.020,1.0000,1.0000,Mechanism of Co3O4/graphene catalytic activity in Li–O2 batteries using carbonate based electrolytes,Electrochimica Acta,2013,accepted
88,2013,"1, 3, 5-Trihydroxybenzene as a film-forming additive for high-voltage positive electrode",accepted,10.1016/j.elecom.2012.10.029,1.0000,1.0000,"1,3,5-Trihydroxybenzene as a film-forming additive for high-voltage positive electrode",Electrochemistry Communications,2013,accepted
89,2012,Failure mechanisms of LiNi 0.5 Mn 1.5 O 4 electrode at elevated temperature,accepted,10.1016/j.jpowsour.2012.04.103,1.0000,1.0000,Failure mechanisms of LiNi0.5Mn1.5O4 electrode at elevated temperature,Journal of Power Sources,2012,accepted
